Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKCH22AC	Engine Part	Crankshaft	4618 *adv.NOTCH NEXT TO C-LINE	Chevrolet		2.2L														FI					Call for inventory	35
CKCH23AA	Engine Part	Crankshaft	"""227+ *--- VEGA I-4, +226"""	Chevrolet		2.3L																			Call for inventory	35
CKCH27A	Engine Part	Crankshaft	8409 *O12 164 CID H-6 CORVAIR	Chevrolet		2.7L														C					Call for inventory	35
CKCH28AA	Engine Part	Crankshaft	"""504 *O12 2.8L V6 MJ=2.494""""EARLY"""	Chevrolet		2.8L														C					Call for inventory	35
CKCH28AB	Engine Part	Crankshaft	"""817+ *O12 2.8L V6 +245,85"""	Chevrolet		2.8L														FI					Call for inventory	35
CKCH28AC	Engine Part	Crankshaft	481+ *O12 2.8L W/NOTCHES	Chevrolet		2.8L														FI					Call for inventory	35
CKCH28AD	Engine Part	Crankshaft	481+ *O12 2.8L NO NOTCH RWD	Chevrolet		2.8L														FI					Call for inventory	35
CKCH28BA	Engine Part	Crankshaft	*D16 LATE 4 CYL. COLORADO	Chevrolet		2.8L														FI					Call for inventory	75
CKCH29AA	Engine Part	Crankshaft	*D16 LATE 4 CYL.	Chevrolet		2.9L														FI					Call for inventory	76
CKCH31AA	Engine Part	Crankshaft	981+ *O12 3.1/3.4L W/NOTCHES	Chevrolet		3.1L														FI					Call for inventory	35
CKCH31AB	Engine Part	Crankshaft	981+ *O12 3.1L NO NOTCH	Chevrolet		3.1L														FI					Call for inventory	35
CKCH35BA	Engine Part	Crankshaft	261 *O12 &3.8L VORTEC W/SNSR	Chevrolet		3.5L																			Call for inventory	150
CKCH37AA	Engine Part	Crankshaft	*D20 LATE INLINE 5 CYL.	Chevrolet		3.7L																			Call for inventory	151
CKCH38AA	Engine Part	Crankshaft	424+ *O12 230 CID I6 +618 (+19	Chevrolet		3.8L														C					Call for inventory	50
CKCH38BA	Engine Part	Crankshaft	726+ *O12 200/229 CID V6 +1354	Chevrolet		3.3L														C					Call for inventory	25
CKCH39AA	Engine Part	Crankshaft	488+ *O12 235/261 CID I6	Chevrolet		3.9L														C					Call for inventory	50
CKCH41AA	Engine Part	Crankshaft	802 *O12 250 CID	Chevrolet		4.1L														C					Call for inventory	35
CKCH41AB	Engine Part	Crankshaft	407 *O12 250 CID I6	Chevrolet		4.1L														C					Call for inventory	35
CKCH42AA	Engine Part	Crankshaft	209 *O12 VORTEC 4200 I-6	Chevrolet		4.2L														FI					Call for inventory	100
CKCH43AA	Engine Part	Crankshaft	431+ *O16 262 CID V8 +376	Chevrolet		4.3L														C					Call for inventory	25
