Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price 
HNS20JB	Engine Part	Cylinder Head	94Y *D16 SR20 I-4	Nissan																FI					Call for inventory	100
HNS22BA	Engine Part	Cylinder Head	W04+ *S08 Z22 CARB I-4	Nissan																CARB					Call for inventory	75
HNS22BB	Engine Part	Cylinder Head	N856+*S08 Z22 w/temp.sw.I-4 +T	Nissan																CARB					Call for inventory	75
HNS24BB	Engine Part	Cylinder Head	10W *S08 Z24 F.I. I-4	Nissan																					Call for inventory	75
HNS24CA	Engine Part	Cylinder Head	40F *S12 KA24 RWD I-4	Nissan																					Call for inventory	75
HNS24CB	Engine Part	Cylinder Head	*S12 KA24 F/P MILLED FWD `89-92	Nissan		2.4L																			Call for inventory	75
HNS24CC	Engine Part	Cylinder Head	53F *D16 KA24 P/U TRUCK I-4	Nissan																FI					Call for inventory	100
HNS24CD	Engine Part	Cylinder Head	IE4 *D16 KA24 I-4 `91-94	Nissan		2.4L														FI					Call for inventory	75
HNS24CE	Engine Part	Cylinder Head	9EO *D16 KA24 I-4	Nissan																FI					Call for inventory	75
HNS25B	Engine Part	Cylinder Head	7R+8H3 *D16 QR25 I-4	Nissan		2.5L														2.5 NISSAN QR25 SENTRA/ALTIMA					Call for inventory	75
HNS28AA	Engine Part	Cylinder Head	N47 *S12 L28 SQUARE EX.PORTS `75-77	Nissan		2.8L														2.8 NISSAN L28E W/SQUARE EX. PORTS I-6 75-77					Call for inventory	75
HNS28AB	Engine Part	Cylinder Head	P79+*S12 L28E ROUND EX.PORTS `76-83	Nissan		2.8L														2.8 NISSAN L28E W/ROUND EX. PORTS `1976-1983 I-6					Call for inventory	100
HNS30AA	Engine Part	Cylinder Head	-21V *S12 VG30 V6 L & R'S	Nissan																					Call for inventory	50
HNS30AB	Engine Part	Cylinder Head	*S12 VG30 V6 L & R'S -V52	Nissan		3.0L											V52			3.0 NISSAN VG30 LEFT (W/DISTRIBUTOR) AND RIGHT (NON DISTRIBUTOR) W/CASTING #V52					Call for inventory	50
HNS30AC	Engine Part	Cylinder Head	-85E *S12 VG30 V6 L & R'S	Nissan																FI					Call for inventory	50
HNS30AD	Engine Part	Cylinder Head	-OWO *S12 VG30 V6 L & R'S	Nissan																FI					Call for inventory	75
HNS30BA	Engine Part	Cylinder Head	-10Y *D24 VG30 V6 L & R'S	Nissan																FI					Call for inventory	150
HNS30BB	Engine Part	Cylinder Head	-30P *D24 VG30DE L& R's	Nissan																FI					Call for inventory	150
HNS30CA	Engine Part	Cylinder Head	-38U *D24 VQ30 V6 L & R'S	Nissan		3.0L														FI					Call for inventory	150
HNS30DA	Engine Part	Cylinder Head	45V *D24 VG30 LATE	Nissan																FI					Call for inventory	150
HNS30DB	Engine Part	Cylinder Head	39V *D24 VG30 LATE	Nissan																FI					Call for inventory	150
HNS33BA	Engine Part	Cylinder Head	-40P *S12 VG33 V6 L & R'S	Nissan																FI					Call for inventory	75
HNS33BB	Engine Part	Cylinder Head	96E *D24 VG33 V6 L & R'S(+VE3	Nissan		3.3L														FI					Call for inventory	150
HNS33BC	Engine Part	Cylinder Head	OWO *S12 VG33 L & R'S	Nissan		3.3L														FI					Call for inventory	75
HNS35AA	Engine Part	Cylinder Head	--4W0*D24 VQ35 V6 L & R'S VAR.	Nissan																FI					Call for inventory	150
HNS35AB	Engine Part	Cylinder Head	--8J1*D24 VQ35 V6 L & R'S VAR.	Nissan																FI					Call for inventory	150
HNS41AA	Engine Part	Cylinder Head	*D32 VH41DE V8 L & R'S Q4	Nissan																FI					Call for inventory	150
HNS42AA	Engine Part	Cylinder Head	TD42 *012 TD42 DIESEL I-6 `90-96	Nissan		4.2L														NISSAN PATROL TD42 6 CYLINDER DIESEL					Call for inventory	130
HNS45AA	Engine Part	Cylinder Head	-60U *D32 VH45DE V8 L & R'S Q4	Nissan		4.5L														FI					Call for inventory	150
HNS56AA	Engine Part	Cylinder Head	*D32 V8 TITAN P/U TRUCK	Nissan																FI					Call for inventory	150
HOL23AA	Engine Part	Cylinder Head	"""433+ *D16 QUAD4 +955, ALSO 086"""	Oldsmobile																FI					Call for inventory	100
HOL23AC	Engine Part	Cylinder Head	303+ D16 QUAD4 10MM EX.STUDS	Oldsmobile		2.3L														FI					Call for inventory	100
HOL23AD	Engine Part	Cylinder Head	456 *D16 QUAD4 NO THERMO-BY-S	Oldsmobile		2.3L														FI					Call for inventory	100
HOL23AE	Engine Part	Cylinder Head	087+ *S08 QUAD4 ALSO 468	Oldsmobile		2.3L														FI					Call for inventory	125
HOL23AF	Engine Part	Cylinder Head	302 + *S08 QUAD4 NO THERMO BY-S	Oldsmobile		2.3L														FI					Call for inventory	125
HOL24AA	Engine Part	Cylinder Head	683+ D16 QUAD 4	Oldsmobile		2.4L														FI					Call for inventory	100
HOL35AA	Engine Part	Cylinder Head	577 *D24 AURORA V6 R=576	Oldsmobile		3.5L														FI					Call for inventory	100
HOL40AA	Engine Part	Cylinder Head	685+ *D32 AURORA C8 R=684	Oldsmobile		4.0L																			Call for inventory	100
HOL43AA	Engine Part	Cylinder Head	"""280+ *O16, 260 CID V8 +362,715"""	Oldsmobile		4.3L														C					Call for inventory	50
HOL43BA	Engine Part	Cylinder Head	228 *O12 4.3L OLDS DIESEL V6	Oldsmobile																DIESEL					Call for inventory	100
HOL43BB	Engine Part	Cylinder Head	579+ *O12 4.3L DIESEL V6 ALUM.	Oldsmobile																					Call for inventory	100
HOL50AA	Engine Part	Cylinder Head	"""142+ *O12 307 CID +317,844"""	Oldsmobile																C					Call for inventory	50
HOL50AAS	Engine Part	Cylinder Head	"""142+ *O12, 307 CID W/ AIR +317,"""	Oldsmobile		5.0L														C					Call for inventory	50
HOL57AA	Engine Part	Cylinder Head	"""147+ *O16, 350 CID 7/16""""C/H BOL"""	Oldsmobile		5.7L														C					Call for inventory	50
HOL57BA	Engine Part	Cylinder Head	"""716 *O16 350 CID 1/2""""C/H BOLT"""	Oldsmobile																C					Call for inventory	35
HOL57CA	Engine Part	Cylinder Head	709+ *016 350 DIESEL PRSS-IN+769 `78-85	Oldsmobile		5.7L																			Call for inventory	150
HOL66AA	Engine Part	Cylinder Head	"""717+ *O16, 403 CID"""	Oldsmobile		6.6L														CARB					Call for inventory	50
HOL75AB	Engine Part	Cylinder Head	100+ *016 455 CID W/ ROTATORS `72-76	Oldsmobile		5.7L														C					Call for inventory	75
HPO16AA	Engine Part	Cylinder Head	589 *SO8 LeMANS + ENGINES	Pontiac																FI					Call for inventory	50
HPO18AA	Engine Part	Cylinder Head	536+ *SO8- BRAZILIAN BUILT	Pontiac		1.8L														FI					Call for inventory	60
HPO18AB	Engine Part	Cylinder Head	536 *S08 W/TURBO WATER PASS.	Pontiac																FI					Call for inventory	60
HPO20AA	Engine Part	Cylinder Head	851+ *SO8- BRAZILIAN	Pontiac		2.0L														FI					Call for inventory	75
HPO20AC	Engine Part	Cylinder Head	896+ *S08 HYD.ADJ. +095	Pontiac																FI					Call for inventory	75
HPO20AD	Engine Part	Cylinder Head	671 *--- DAEWOO?	Pontiac																FI					Call for inventory	100
HPO25AA	Engine Part	Cylinder Head	998+ *O08- 151 CID 2.5L PRESS-I	Pontiac		2.5L														C					Call for inventory	100
HPO25BB	Engine Part	Cylinder Head	552+ *O08- 151 CID 2.5L SCREW-I	Pontiac		2.5L														CARB					Call for inventory	100
HPO25BD	Engine Part	Cylinder Head	767+ *O08- 2.5L +373R HEART CHA	Pontiac		2.5L														FI					Call for inventory	100
HPO25BDU	Engine Part	Cylinder Head	767U+ *O08- 2.5L HEART CHA	Pontiac		2.5L														FI					Call for inventory	100
HPO25BE	Engine Part	Cylinder Head	496R+ *O08- 2.5L +901R HEART CHA	Pontiac		2.5L														FI					Call for inventory	100
HPO25BEU	Engine Part	Cylinder Head	496U+ *O08- 2.5L +901U HEART CHA	Pontiac		2.5L														FI					Call for inventory	100
HPO25BG	Engine Part	Cylinder Head	655R+ *O08- 2.5L +808R ROUND EX.	Pontiac		2.5L														FI					Call for inventory	100
HPO25BGU	Engine Part	Cylinder Head	655U+ *O08- 2.5L +808U ROUND PRT	Pontiac		2.5L														FI					Call for inventory	100
HPO25BJ	Engine Part	Cylinder Head	642R+ *O08-2.5L TALLER VALVES	Pontiac		2.5L														FI					Call for inventory	100
HPO25BJU	Engine Part	Cylinder Head	642U *O08 2.5L TALLER VALVES C	Pontiac																FI					Call for inventory	100
HPO25BK	Engine Part	Cylinder Head	485R+ *O08 -2.5L +514R D EX.PORT	Pontiac		2.5L														FI					Call for inventory	100
HPO25BKU	Engine Part	Cylinder Head	485U+ *O08 -2.5L +514U D EX.PORT	Pontiac		2.5L														FI					Call for inventory	100
HPO30AA	Engine Part	Cylinder Head	087+ *O08 181 CID 3.0L MARINE	Pontiac																C					Call for inventory	100
HPO43AA	Engine Part	Cylinder Head	65+ *O16 265 V8 +203	Pontiac																C					Call for inventory	50
HPO49AA	Engine Part	Cylinder Head	006+ *O16- 301 CID +01-46-187-5	Pontiac		4.9L														C					Call for inventory	50
HPO49AAS	Engine Part	Cylinder Head	006+ *O16 301 CID W/AIR +46	Pontiac																C					Call for inventory	50
HPO53AA	Engine Part	Cylinder Head	"""094+ *O16 326 CID V8 +140,141"""	Pontiac																C					Call for inventory	75
HPO57AD	Engine Part	Cylinder Head	4X+ *O16 350/400 CID +6X	Pontiac																CARB					Call for inventory	35
HPO64AA	Engine Part	Cylinder Head	"""092+ *O16 389 CID V8 +093,776,"""	Pontiac																CARB					Call for inventory	35
HPO75AA	Engine Part	Cylinder Head	7M+ *O16 - 455 CID V8	Pontiac		7.5L														CARB					Call for inventory	75
HRCH31AE	Engine Part	Cylinder Head	170+ *O12 3.1/3.4L +487 REMANN	Pontiac																					Call for inventory	60
HRN14AA	Engine Part	Cylinder Head	*--- I-4 RENAULT	Renault																					Call for inventory	75
HRR35A	Engine Part	Cylinder Head	*O16 V8 LANDROVER	Range Rover																					Call for inventory	150
HRR39A	Engine Part	Cylinder Head	741+ *O16 V8 RANGEROVER	Range Rover																					Call for inventory	150
HRR40A	Engine Part	Cylinder Head	741+ *O16 V8 RANGEROVER	Range Rover																					Call for inventory	150
HRR46A	Engine Part	Cylinder Head	*O16 V8 LANDROVER	Range Rover																					Call for inventory	150
HSA19AA	Engine Part	Cylinder Head	649+ *S08 SATURN + 713	Saturn		1.9L											"649, 713"			1.9 SATURN `91-94 CARBURETOR W/CASTING 649+713 NO NOTCHES SQUARE INTAKE PORTS					Call for inventory	100
HSA19AB	Engine Part	Cylinder Head	469+ *D16 SATURN 4 BOLT V/COVE	Saturn		1.9L														1.9 SATURN `91-93 4 BOLTS VALVE COVER W/ANGLED EGR VALVE					Call for inventory	125
HSA19AC	Engine Part	Cylinder Head	469 *D16 SATURN 3 BOLT V/COVE	Saturn																FI					Call for inventory	100
HSA19AD	Engine Part	Cylinder Head	136+ *S08 NOTCHED FI +713	Saturn																FI					Call for inventory	125
HSA19AE	Engine Part	Cylinder Head	937 *D16 3BT V/COVER	Saturn																FI					Call for inventory	100
HSA19AF	Engine Part	Cylinder Head	254+ *D16 3BT.V/C SMALL AIRHLS	Saturn		1.9L														1.9 SATURN `99+ 3 BOLTS VALVE COVER W/SMALL AIR HOLS /ROLLER FOLLOWERS/OBLONG INTAKE PORTS W/ EYEBROWN					Call for inventory	100
HSB23AA	Engine Part	Cylinder Head	535 *D16 SAAB 4 CYL HEAD	Saab																FI					Call for inventory	100
HSB23AB	Engine Part	Cylinder Head	614 *D16 SAAB TURBO I-4	Saab																FI					Call for inventory	250
HSU10AA	Engine Part	Cylinder Head	*--- EF10 I-3	Subaru																					Call for inventory	75
HSU12AA	Engine Part	Cylinder Head	*S09 EF12 I-3 JUSTY NO SQ	Subaru		1.2L																			Call for inventory	75
HSU16AA	Engine Part	Cylinder Head	*O08 EA71 CARS	Subaru																C					Call for inventory	75
HSU18AA	Engine Part	Cylinder Head	*O08 EA81 H-4	Subaru																CARB					Call for inventory	75
HSU18BA	Engine Part	Cylinder Head	EA82 *S08 EA82 1-IN.PORT H4	Subaru		1.8L														FI					Call for inventory	75
HSU18BC	Engine Part	Cylinder Head	EA82 *S08 EA82 2-IN.PORTS H4	Subaru																					Call for inventory	60
HSU18CA	Engine Part	Cylinder Head	*S16 EJ18 H-4	Subaru																FI					Call for inventory	75
HSU22AA	Engine Part	Cylinder Head	*S16 EJ22 H-4	Subaru		2.2L														FI					Call for inventory	75
HSU25AA	Engine Part	Cylinder Head	*D16 EJ25 H-4	Subaru																FI					Call for inventory	75
HSU27AA	Engine Part	Cylinder Head	*S12 EJ27 H-6 LH & RH	Subaru		2.7L														FI					Call for inventory	75
HSU33AA	Engine Part	Cylinder Head	*D24 EG33 H-6	Subaru		3.3L														FI					Call for inventory	75
HSZ10BA	Engine Part	Cylinder Head	"""S3+ *S06 G10 I-3 CARB """"skinny"""	Suzuki																C					Call for inventory	75
HSZ10BB	Engine Part	Cylinder Head	"""*S06 G10 I-3 F.I. """"FAT-HEAD"""" `89+"""	Suzuki		1.0L														FI					Call for inventory	75
HSZ13AA	Engine Part	Cylinder Head	"""S-1+ *S08 G13 1 1/8""""IN.PORT,AD"""	Suzuki																CARB					Call for inventory	75
HSZ13AB	Engine Part	Cylinder Head	YBA*S08 G13BA HYD. ROLLER I-4 `95-98	Suzuki		1.3L														FI					Call for inventory	75
HSZ13AD	Engine Part	Cylinder Head	S-2 *D16 G13K SWIFT GTi	Suzuki																FI					Call for inventory	75
HSZ16AA	Engine Part	Cylinder Head	"""61A*S08 G16 1 3/8""""IN.PORT,ADJ `89-96"""	Suzuki		1.6L														FI					Call for inventory	125
HSZ16AB	Engine Part	Cylinder Head	YA7+ *S16 G16 TRACKER +A7	Suzuki																FI					Call for inventory	100
HSZ20AA	Engine Part	Cylinder Head	S3-S7*D16 J18/J20 I-4	Suzuki																FI					Call for inventory	100
HSZ25AA	Engine Part	Cylinder Head	*D24 H25 V6 VITARA `99	Suzuki		2.5L														FI					Call for inventory	100
HSZ27AA	Engine Part	Cylinder Head	*D24 H27 XL-7 V6	Suzuki																FI					Call for inventory	100
HTO15DA	Engine Part	Cylinder Head	*S12--C-AL*3E F/P MOUNT	Toyota																C					Call for inventory	75
HTO15DC	Engine Part	Cylinder Head	""" * S12--FIAL*3EE 8 3/8""""RAIL"""	Toyota		1.5L														FI					Call for inventory	75
HTO15EA	Engine Part	Cylinder Head	*D16--FIAL*5EFE I4 CAM SENSOR `92-95	Toyota		1.5L														FI					Call for inventory	100
HTO15GA	Engine Part	Cylinder Head	*D16 1NZFXE ECHO/ PRIUS	Toyota																					Call for inventory	100
HTO16AA	Engine Part	Cylinder Head	*S08--C-AL*4AC STRT.V/C I-4 `82-84	Toyota		1.6L														CARB STRAIGHT EDGE VALVE COVER					Call for inventory	50
HTO16AB	Engine Part	Cylinder Head	*S08--C-AL*4AC+ WAVEY V/C I-4 `84-88	Toyota		1.6L														CARB WAVEY EDGE VALVE COBER					Call for inventory	50
HTO16AC	Engine Part	Cylinder Head	* D16--C-AL*4AGE+ I4 `85-91	Toyota		1.6L														HAS 2 VALVE COVERS					Call for inventory	75
HTO16AD	Engine Part	Cylinder Head	*D16--C-AL*4AF CARB I4 `87-89	Toyota		1.6L														CARB					Call for inventory	60
HTO16AE	Engine Part	Cylinder Head	*D16--FIAL*4AFE FI I4 `88-92	Toyota		1.6L														FI					Call for inventory	60
HTO16M	Engine Part	Cylinder Head	*D16--FIAL*1FVZE I4 `98+	Toyota		1.6L														ALSO USED IN 1ZZ ENGINE					Call for inventory	50
HTO18FA	Engine Part	Cylinder Head	*D16--FIAL*7AFE I4	Toyota		1.8L														FI					Call for inventory	75
HTO18FB	Engine Part	Cylinder Head	*D16 7AFE W/ AIR HOLE	Toyota																FI					Call for inventory	75
HTO18GA	Engine Part	Cylinder Head	""" *D16--FIAL*1ZZFE I4 -3/8"""" G. HT `98+"""	Toyota		1.8L														FI					Call for inventory	100
HTO18HA	Engine Part	Cylinder Head	"""*D16--FIAL*2ZZGE I4 -5/8"""""""	Toyota																FI					Call for inventory	100
HTO20FA	Engine Part	Cylinder Head	*S08--FIAL*2SE I4 `83-86	Toyota		2.0L														FI					Call for inventory	75
HTO20JA	Engine Part	Cylinder Head	*D16--FIAL*3SG 2 BELT PULLEYS `86 92	Toyota		2.0L														FI DUAL VALVE COVER					Call for inventory	75
HTO20JE	Engine Part	Cylinder Head	4+ *D16--FIAL*3SF 1 BELT PULLEY `86-89	Toyota		2.0L														FI					Call for inventory	75
HTO20JG	Engine Part	Cylinder Head	*D16 3SFE RAV4	Toyota																FI					Call for inventory	100
HTO20KA	Engine Part	Cylinder Head	2+ *D24 --FIAL*1VZFE V6 L&R	Toyota		2.0L														FI					Call for inventory	75
HTO20L	Engine Part	Cylinder Head	AZ *D1 2AZ `01+	Toyota		"2.0L, 2.4L"														ALSO USED IN 2.4L					Call for inventory	225
HTO22AA	Engine Part	Cylinder Head	*S08--C-AL*20R I4	Toyota																CARB					Call for inventory	75
HTO22CA	Engine Part	Cylinder Head	*O08--FIAL*4YEC I4	Toyota																FI					Call for inventory	75
HTO22DA	Engine Part	Cylinder Head	15A+ *D16--FIAL*5SFE I4 2HEART CHAMBER `90-97	Toyota		2.2L														FI 2 HEART SHAPES IN EACH CHAMBER. NO BOOS BOLT ON FRONT					Call for inventory	75
HTO22DB	Engine Part	Cylinder Head	15A+ *D16--FIAL*5SFE I4 2BSS 2	Toyota		2.2L														FI					Call for inventory	100
HTO22DC	Engine Part	Cylinder Head	15A+ *D16--FIAL*5SFE I4 2BSS 1 HEART `97+	Toyota		2.2L														.250 DEEP INJECTOR HOLE ALSO HAS CHAMBER HEART					Call for inventory	75
HTO22DD	Engine Part	Cylinder Head	"""15A+ *D16- FIAL*5SFE 14 2BSS- 1HEART .500""""DEEP INJECTOR HOLE"""	Toyota		2.2L														"""NOTE: THIS HEAD HAS A EMMISSION TUBE AND THE INJECTOR HOLE IS .500"""" DEEP ALSO 1 HEART CHAMBER"""					Call for inventory	75
HTO24BA	Engine Part	Cylinder Head	*S08--C-AL*22R RND EXH. 1	Toyota																C					Call for inventory	75
HTO24BB	Engine Part	Cylinder Head	*S08--CFAL*22RE RND.EX.20	Toyota																C/FI					Call for inventory	75
HTO24BC	Engine Part	Cylinder Head	*S08--FIAL*22REC PEAR EX.	Toyota																FI					Call for inventory	150
HTO24CA	Engine Part	Cylinder Head	2.4 *D16--FIAL*2TZFE -LONGER CAM `90-95	Toyota		2.4L														FI					Call for inventory	100
HTO24CB	Engine Part	Cylinder Head	*D16--FIAL*2TZFZE I4	Toyota																FI					Call for inventory	100
HTO24DA	Engine Part	Cylinder Head	5+ *D16--FIAL*2RZFE I4 +27	Toyota																FI					Call for inventory	100
HTO24EA	Engine Part	Cylinder Head	*D16--FIAL*2AZFE I4	Toyota																FI					Call for inventory	75
HTO25CA	Engine Part	Cylinder Head	*D24--FIAL*2VZFE V6 L & R `88-92	Toyota		2.5L																			Call for inventory	75
HTO27AA	Engine Part	Cylinder Head	*D16--FIAL*3RZFE I4	Toyota																FI					Call for inventory	150
HTO28AA	Engine Part	Cylinder Head	*S12----AL*5ME I6	Toyota																					Call for inventory	75
HTO28BB	Engine Part	Cylinder Head	*D12----AL*5MGE I6	Toyota																					Call for inventory	75
HTO30DA	Engine Part	Cylinder Head	15 *D24----AL*7MGE I6 `86-92	Toyota		3.0L																			Call for inventory	100
HTO30EA	Engine Part	Cylinder Head	V *S12--FIAL*3VZE V6 L & R'	Toyota																FI					Call for inventory	125
HTO30EC	Engine Part	Cylinder Head	*D24--FIAL*3VZFE V6 L & R `92-95	Toyota		3.0L														FI					Call for inventory	75
HTO30FA	Engine Part	Cylinder Head	*D24--FIAL*2JZGE I6	Toyota																FI					Call for inventory	100
HTO30FC	Engine Part	Cylinder Head	*D24--FIAL*2JZGE I6	Toyota																FI					Call for inventory	100
HTO30GA	Engine Part	Cylinder Head	*D24 --FIAL*1MZFE V6 L & R `94-99	Toyota		3.0L														FI					Call for inventory	100
HTO30GB	Engine Part	Cylinder Head	"""B7+ *D24 1MZFE W/CM SENSOR,R="""	Toyota		3.0L														FI					Call for inventory	100
HTO34CA	Engine Part	Cylinder Head	*D24--FIAL*5VZFE V6	Toyota																FI					Call for inventory	100
HTO40DA	Engine Part	Cylinder Head	*D32--FIAL*1UZFE V8 L & R	Toyota																FI					Call for inventory	150
HTO42AC	Engine Part	Cylinder Head	*O12--FI--*3FE I6 LANDCRU	Toyota																					Call for inventory	200
HTO43AA	Engine Part	Cylinder Head	*D32--FIAL*3UZFE V8 LS430	Toyota																FI					Call for inventory	100
HTO45AA	Engine Part	Cylinder Head	*D24--FIAL*1FZFE I6	Toyota																FI					Call for inventory	100
HTO47AA	Engine Part	Cylinder Head	-3 *D32H-FIAL*2UZFE V8 L & R	Toyota																FI					Call for inventory	100
HVO19AA	Engine Part	Cylinder Head	*D-- B4194T S/V40 TURBO I	Volvo																FI					Call for inventory	150
HVO23AD	Engine Part	Cylinder Head	262 *D16 B234F I-4	Volvo																FI					Call for inventory	150
HVO23BA	Engine Part	Cylinder Head	*D-- B5234T 850 TURBO I-5	Volvo																FI					Call for inventory	150
HVO24BA	Engine Part	Cylinder Head	525 *D20 B5254S I-5	Volvo																					Call for inventory	150
HVO29AA	Engine Part	Cylinder Head	*D24 B6304F 960 I-5	Volvo																FI					Call for inventory	150
HVW16EA	Engine Part	Cylinder Head	068 *S08 ME DIESEL GOLF 06810	Volkswagon																D					Call for inventory	75
HVW17AA	Engine Part	Cylinder Head	373 *S08 1715CC USED IN DC	Volkswagon																C					Call for inventory	75
HVW18AA	Engine Part	Cylinder Head	373AA*S08 JH NO VENT TUBE	Volkswagon																FI					Call for inventory	75
HVW18B	Engine Part	Cylinder Head	058.D*D20 (ATW & AWD ENGINES)	Volkswagon																FI					Call for inventory	400
HVW18BB	Engine Part	Cylinder Head	373G *S08 2H W/ VENT TUBE	Volkswagon																FI					Call for inventory	150
HVW19BA	Engine Part	Cylinder Head	*S08 TDI DIESEL	Volkswagon																D					Call for inventory	75
HVW20A	Engine Part	Cylinder Head	037 *S08 BEETLE AEG 037...AD	Volkswagon																FI					Call for inventory	150
HVW25AA	Engine Part	Cylinder Head	37353*S10 AAF EUROVAN I-5	Volkswagon																FI					Call for inventory	100
HVW28B	Engine Part	Cylinder Head	078 *S12 V6 VW/AUDI 078103373	Volkswagon																FI					Call for inventory	75
HVW28C	Engine Part	Cylinder Head	373S *D30 AHA VW/AUDI 07810337	Volkswagon																FI					Call for inventory	500
HVW28D	Engine Part	Cylinder Head	373C *D12 V6 W/1 HEAD 02110337	Volkswagon																FI					Call for inventory	250
HVW28E	Engine Part	Cylinder Head	323AH*D24 AUDI V6	Volkswagon																FI					Call for inventory	300
HVW30A	Engine Part	Cylinder Head	*--- V6 TDI DIESEL	Volkswagon																					Call for inventory	150
HVW32A	Engine Part	Cylinder Head	*--- V6 L&R's	Volkswagon																					Call for inventory	150
HVW40A	Engine Part	Cylinder Head	07D *D32 V8 PASSAT(L&R`s-374&	Volkswagon																					Call for inventory	150
HVW42A	Engine Part	Cylinder Head	*D40 V8 TOURAG TWINCAM L&	Volkswagon																					Call for inventory	500
HVW50A	Engine Part	Cylinder Head	*40V V10 GDI	Volkswagon																					Call for inventory	400
HVW60A	Engine Part	Cylinder Head	*--- W12 ENGINE L&R's	Volkswagon																					Call for inventory	400
HYA30AA	Engine Part	Cylinder Head	YG0 *D24 V6 FORD SHO VIN Y `86-95	"Ford, Yamaha"		3.0L														FI					Call for inventory	100
HYA32AA	Engine Part	Cylinder Head	*D24 FORD V6 SHO VIN P	"Ford, Yamaha"																FI					Call for inventory	150
HYA34AA	Engine Part	Cylinder Head	Y-1 *D32 FORD V8 SHO FORD/YAMAHA `96-99	"Ford, Yamaha"		3.4L														FI					Call for inventory	150
BU-18S	Engine Part	Torque Converter	THM-700R4 4L60E 298MM 30SPL SQR.PAD	GM														4	"700R4, 4L60E"					1312		25
CGM-24	Engine Part	Torque Converter	6T40/6T45 2.4L ECOTEC 3 PAD 24 SPLN 3TAB	GM	I4	2.4											O70		"6T40, 6T45"				Cast	1312		
TFO5R55W40	Transmission	Transmission	5R55W *4.0L EXPLORER TYPE 1L2P... `02-02	"Ford, Mercury, Lincoln"														5	5R55W					1308		250
10A750B	Transmission Part	Bell Housing	BELL-NO RAISED BOSS AT 3	GM															TAAT	no notes available yet					Call for inventory	1
48A750TA	Transmission Part	Bell Housing	4F27E*HSNG-BELL	Ford															4F27E	no notes available yet					Call for inventory	1
74A750AA	Transmission Part	Bell Housing	V6/ V8 5:00 STARTER	GM															4L60E						Call for inventory	50
74A750BA	Transmission Part	Bell Housing	I-4 5:00 STARTER	GM															4L60E						Call for inventory	50
74A750DA	Transmission Part	Bell Housing	V6/ V8 8:30 STARTER	GM															4L60E						Call for inventory	45
74A750DB	Transmission Part	Bell Housing	V6/ V8 8:30 STARTER.W/ TAB	GM															4L60E						Call for inventory	45
74A750EA	Transmission Part	Bell Housing	4L60E*BELL-V6/V8 8:30 STR.&TOPHOLE`	GM														4	"4L60E, 4L65E, 4L70E"					600	Call for inventory	50
103A760T21	Transmission Part	Case	CASE- WATER COOLED TYPE	GM															PGA						Call for inventory	100
103A760T22	Transmission Part	Case	CASE- AIR COOLED TYPE	GM															PGA						Call for inventory	100
12A760	Transmission Part	Case	CASE-318 CID BELL NON L/	"Dodge, Chrysler"															A904	no notes available yet					Call for inventory	1
12A760A	Transmission Part	Case	CASE-318 CID BELL L/U	"Dodge, Chrysler"															A904	no notes available yet					Call for inventory	1
12A760CA	Transmission Part	Case	CASE-225 CID BELL L/U 1:	"Dodge, Chrysler"															A904	no notes available yet					Call for inventory	1
12A760EA	Transmission Part	Case	"""CASE-4.0L 5 7/8""""TOP 2,L/"""	"Dodge, Chrysler"															A904	no notes available yet					Call for inventory	1
12A760KA	Transmission Part	Case	CASE-2.8L CHEV.BELL L/U	"Dodge, Chrysler"															A904	no notes available yet					Call for inventory	1
12A760L	Transmission Part	Case	"""CASE-DS-.93""""HOLE-7.75""""16"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	75
12A760LA	Transmission Part	Case	"""CASE-DS-.93""""HOLE-7.75""""17"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	135
12A760M	Transmission Part	Case	"""CASE-DS-1.1""""HOLE-7.75""""TO"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	135
12A760N	Transmission Part	Case	"""CASE-PS-7.75""""TOP2-3PUMPS"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	135
12A760NA	Transmission Part	Case	"""CASE-PS-7.75""""TOP2-2PUMPS"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	150
12A760P	Transmission Part	Case	"""CASE-PS-5.87""""TOP2-3PUMPS"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	135
12A760PA	Transmission Part	Case	"""CASE-PS-5.87""""TOP2-2PUMPS"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	225
12A760S	Transmission Part	Case	"""CASE-DS-.93""""HOLE-5.125""""T"""	"Dodge, Chrysler"															A500	no notes available yet					Call for inventory	135
32A760K	Transmission Part	Case	2.4L W/3 BOSSES `95+	"Dodge, Chrysler"															A413						Call for inventory	225
32A760L	Transmission Part	Case	3.0L V6 L/U 2WD `87-94	"Dodge, Chrysler"															A670						Call for inventory	300
