Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CID	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
12A554HK	Transmission Part	Drum	DRUM/SHAFT-4CL.1RING-23S	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554JK	Transmission Part	Drum	DRUM/SHAFT-3CL.L/U 22 SP	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555BA	Transmission Part	Drum	DRUM-FRONT/DIRECT REV.-3	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555BB	Transmission Part	Drum	DRUM-FRONT/DIRECT REV.-3	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555CA	Transmission Part	Drum	DRUM-FRONT/DIRECT REV.-4	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555CB	Transmission Part	Drum	DRUM-FRONT/DIRECT REV.-4	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555CC	Transmission Part	Drum	DRUM-FRONT/DIR.REV.4PK~6	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A555CD	Transmission Part	Drum	DRUM-FRONT/DIR.REV.4PK~6	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	30
12A555CE	Transmission Part	Drum	DRUM-FRONT/DIR.REV.4PK-2	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	30
12A555DC	Transmission Part	Differentials	DRUM-FRONT/DIR.REV.5PK~6	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	30
12A555DD	Transmission Part	Drum	DRUM-FRONT/DIR.REV.5PK~6	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	24
12A555DE	Transmission Part	Drum	DRUM-FRONT/DIR.REV.5PK-2	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	26
12A556	Transmission Part	Drum	DRUM-REVERSE BAND SLIDE	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A556A	Transmission Part	Drum	DRUM-REV.BAND-PRESS-ON R	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A556B	Transmission Part	Drum	DRUM-REV.BAND-HAS WASHER	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A570			"HUB-O/D 3""""TALL-LESS SPRI"	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	20
12A570K1			SUN/HUB ASSY-O/D-FOR 2.2	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	45
12A570K10			O/D.CL.HUB TO O/D RING-A	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	75
12A570K2			SUN/HUB ASSY-O/D-22 PITC	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	45
12A570K3			SUN/HUB ASSY-O/D-15 PITC	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	45
12A580A	Transmission Part	Planetary	PLANET-O/D 4 PIN. W/22 P	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	40
12A580AA	Transmission Part	Planetary	PLANET-O/D 4 PIN. STRAIG	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	40
12A580AB	Transmission Part	Planetary	PLANET-O/D 4 PIN.W/15 PI	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	40
12A580B	Transmission Part	Planetary	PLANET-O/D 5 PIN.W/22 PI	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	40
12A580BB	Transmission Part	Planetary	PLANET-O/D 5 PIN.W/15 PI	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	40
12A582A	Transmission Part	Planetary	PLANET-FRONT-STEEL-4 PIN	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A582AA	Transmission Part	Planetary	PLANET-FRONT-ALUM.-3 PIN	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A582AB	Transmission Part	Planetary	PLANET-FRONT-ALUM.-4 PIN	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	20
12A582AX1	Transmission Part	Planetary	PLANET-FRONT-STEEL-4 PIN	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
